HOME_ES,53
GAT-5d_6_NH,49
DIR-1_TD,29
DESAPARÈIXER_2_CS,26
GOS_EQ(QK)6,50
BÉ-Q_QN,15
FINESTRA_2_NT,45
FI_4_QM,43
1VEURE3-1_BV,101
VENIR-2d_2_KS,99
FOSC_3_NHb5 (BU),48
PRISMÀTICS-C_3_BF,78
GOS-Q-cara_4_QK,50
PRIMER (6)_2_GQa5 (QN),77
DESPRÉS-1_3_KU7,27
DOS_12_DUa5,33
AVISAR_8_BUb5 (NH),10
ESCRIURE_7_LN7,38
VEURE-2_2_DW7,101
FALTAR_7_FNb5,42
ESPERAR-B_4_NC(KS)8,39
VEURE-1_KS(NC)8,101
DRETA (mà en l'espatlla dreta))_KSb5,34
MATEIX-Q_DV7,59
NO_2_KE(DG)8,63
DINS-B_2_SC,28
A-BAIX-1_2_SCb5 (SK),11
HAVER^NO_14_FNa5,52
PRESTATGE_8_QNa5 (CG),76
A-VEURE-1_NC,101
MARXAR (L)_BQ7,58
FORA_NH(BU)8,47
ARA (5) (2m)_2_FN(BQ)8,5
1DONAR3-T antic_2_KI,31
ASSOCIACIÓ_3_CG(QF)8,7
GRANOTA-8d_QF,51
HOME-6_5_LN7,53
AVISAR-5-rep_LN(MS)6,10
BÉ_QF(CG)8,15
A-BAIX-1_SCb5 (SK),11
3VEURE1-2_KI,101
CRIDAR-L'ATENCIÓ_2_DUb5,8
PRIMER(1)_KS7,77
A-BAIX-B_3_NTa5 (KN),11
VENIR_3_KE7,99
HAVER-HI-NO-rep_2_KDa5 (DT),52
PRESTATGE_5_KWa5,76
CASA_KU7,17
FINS-A_QN,46
FI_3_KSb5 (NC),43
ON-B_KU,66
VEURE-2_DW,101
TOT-5_QF(CG)8,95
ÉS-IGUAL-5_NH,54
MOLT(1m)_BN(CS)6,61
3VEURE1-2_QN,101
FI_3_GR7,43
ON_4_QNa5 (CG),66
1VEUREloc-2_4_DT,101
1MIRARarc_FN7,60
JUST-0_SC,56
OCELL_5_QK,65
ÚLTIM-B_2_OS7,104
MOLT_3_KD(DT)8,61
HAVER-HI-1_DU(KW)8,52
ESPERAR-B_2_CG7,39
ESPERAR-A_3_GR7,39
AGAFAR_TD,2
HAVER-HI_NHb5 (BU),52
A-BAIX(B)_DT(KD)6,11
BITLLES-5d_QN,12
RES-MÉS_NHb5 (BU),81
BLAU_3_KSb5,13
AL-COSTAT_2_BUa5 (BH),22
FI_MS(LN)6,43
HAVER-DE_BF,52
ESCRIURE-rep_CS7,38
BÉ-6_3_CS(BN)6,15
ESQUERRA-5-mm_3_NCb5 (KS),40
ESQUERRA_4_KEa5 (DG),40
NO_4_NH(BU)8,63
DOS_KD(DT)8,33
MIRAR3_DV7,60
UN_5_LN(MS)6,97
OCELL-0e-rep_KU,65
ARA_2_DT(KD)6,5
OBRIR+PORTA_11_KEa5 (DG),64
A-BAIX(1)_2_QNa5 (CG),11
PRIMER-1_2_SCa5(SK),77
FALTAR_KNa5 (NT),42
IGUAL_KW(DU)8,54
GRANOTA-8d_9_KU,51
ANAR-SE_2_DG7,4
OCELL_KI,65
MARXAR-B_BQ,58
SUPERFÍCIE_2_GR(KT)8,91
OCELL_2_QK,65
OBRIR-CALAIX-A_5_SKa5(SC),16
PRESTATGE-Bd_5_QFa5 (cg),76
HAVER-HI_SKb5 (SC),52
DRETA_3_KNa5 (NT),34
SEMBLAR-5_2_KS,85
BAIX_NT7,11
HAVER-HI_4_SKa5(SC),52
FALTAR_KSb5 (NC),42
NO_IU,63
DONA-T_antiga_7_KN7,30
ENTRAR-B-sota_mà_2_BQ,37
DESPRÉS-1_2_NT7,27
SABER-NO_2_KD(DT)8,83
HOME_BAIX_NT,53
MÉS-6_2_DG(KE)8,62
ON-B_3_DT,66
SEMBLAR-polze-cor_2_KW(DU)8,85
NO-1_2_CG(QF)8,63
FI_2_LN(MS)6,43
MIRAR-PRISMÀTICS-0_SSI_6_SC,78
IGUAL-1_QF(CG)8,54
BÉ_3_BQ(FN)8,15
ABANS _línia anafòrica__2_SKb5 (SC),1
ESPERAR-B_2_DU,39
A-BAIX-B_4_BQa5,11
ENTRAR-B-sota_mà_BU,37
MATEIX_2_EQ(QK)6,59
FINS-A_3_QN,46
FOSC_2_GRb5 (KT),48
GOS-Q-cara_3_CG,50
GOS-Q_13_QN,50
AGAFAR_7_QM,2
NO_EQ(QK)6,63
DINS-Q_DU(KW)8,28
FI-rep_QM,43
ESQUERRA_6_DGa5 (KE),40
HOME_12_QN,53
NO_2_KS(NC)8,63
BÉ-rep_2_GH7,15
GAT-5d_TD,49
parla_6_GRb5 (KT),103
ROSA-1_8_SKb5 (SC),82
SUPERFÍCIE_7_BQ(FN)8,91
COLOR-5_7_KEb5 (DG),19
AVISAR_4_KTb5 (GR),10
ESPERAR-A_2_GR7,39
GOS-Q-cara_NT,50
OCELL_3_QK,65
BÉ-Q_KSb5 (NC),15
DINS-Q_DT(KD)8,28
BUSCAR-2d_2_TD,14
HAVER-HI-NO_10_KD(DT)8,52
DRETA_2_GQa5 (QN),34
VEURE-2_7_TG,101
DINS-Q_KU,28
BÉ-0_SCb5 (SK),15
PETIT-Bd_OC,71
ABANS_DUb5,1
DINS-1_2_QF,28
BLAU-Y_SSI_NCb5 (KS),13
GOS-polze-cor_QM,50
UN_3_FN6,97
AURICULARS-0e_9_SK7,9
NO+++_3_QNa5 (CG),63
VEURE1-1_TD7,101
MOLT_3_BQ(FN)8,61
PER_2_KI,69
AVISAR_17_KNa5 (NT),10
ESCRIURE_8_KI7,38
SI_3_NH(BU)8,87
DOS_NC7,33
PRESTATGE_5_QNa5 (CG),76
BÉ-6_KS,15
GOS-Q-cara_10_IU,50
AL-COSTAT-B_BV(KI)6,22
AGAFAR_ES,2
DONA-Oe_2_IU7,30
3VEURE3-2_GR,101
MÉS-6_DW7,62
HOME ++_QF6,53
ABANS_DG7,1
COLOR-4_3_BUb5 (NH),19
A-BAIX_6_KD(DT),11
DRETA-bm_17_SCb5 (SK),34
ASSOCIACIÓ_6_CG(QF)8,7
HAVER^NO_4_FNa5,52
MIRAR-PRISMÀTICS-C SSI_4_OG,78
TAMBÉ-7_2_KS,93
HAVER-HI-NO_3_DT(KD)8,52
SÍ-0_KW(DU)8,92
NO-7_2_FNa5,63
HOME-1d_OC,53
MOLT_DT(KD)8,61
HOME-1_3_CG7,53
FI_10_NHa5 (BU),43
SABER-NO_2_GRb5 (KT),83
IGUAL-1_DT(KD)8,54
ABANS_3_QNa5 (CG),1
BUSCAR-2d-rep_BU,14
PORTA_3_QNa5 (CG),74
SORD_3_GR(KT)8,90
PERQUÈ_2_KW,70
DE_10_KWa5,24
MÉS-6_BUb5 (NH),62
FI_3_FNb5,43
BAIX_6_CG6,11
HAVER-HI-NO-rep_BQa5,52
HOME (6)_2_BNb5,53
FOSC (1m)_8_BNb5,48
MÉS (6)_2_BQ(FN)8,62
